Row_ID,Order_ID,Request_Date,Completion_Date,Customer ID,Customer_Name
1,CA-2017-152156,8/11/2017,11/11/2017,CG-12520,Claire Gute
2,CA-2017-152156,8/11/2017,11/11/2017,CG-12520,Claire Gute
3,CA-2017-138688,12/6/2017,16/06/2017,DV-13045,Darrin Van Huff
4,US-2016-108966,11/10/2016,18/10/2016,SO-20335,Sean O'Donnell
5,US-2016-108966,11/10/2016,18/10/2016,SO-20335,Sean O'Donnell
6,CA-2015-115812,9/6/2015,14/06/2015,BH-11710,Brosina Hoffman
7,CA-2015-115812,9/6/2015,14/06/2015,BH-11710,Brosina Hoffman
8,CA-2015-115812,9/6/2015,14/06/2015,BH-11710,Brosina Hoffman
9,CA-2015-115812,9/6/2015,14/06/2015,BH-11710,Brosina Hoffman
10,CA-2015-115812,9/6/2015,14/06/2015,BH-11710,Brosina Hoffman
11,CA-2015-115812,9/6/2015,14/06/2015,BH-11710,Brosina Hoffman
12,CA-2015-115812,9/6/2015,14/06/2015,BH-11710,Brosina Hoffman
13,CA-2018-114412,15/04/2018,20/04/2018,AA-10480,Andrew Allen
14,CA-2017-161389,5/12/2017,10/12/2017,IM-15070,Irene Maddox
15,US-2016-118983,22/11/2016,26/11/2016,HP-14815,Harold Pawlan
16,US-2016-118983,22/11/2016,26/11/2016,HP-14815,Harold Pawlan
17,CA-2015-105893,11/11/2015,18/11/2015,PK-19075,Pete Kriz
18,CA-2015-167164,13/05/2015,15/05/2015,AG-10270,Alejandro Grove
19,CA-2015-143336,27/08/2015,1/9/2015,ZD-21925,Zuschuss Donatelli
20,CA-2015-143336,27/08/2015,1/9/2015,ZD-21925,Zuschuss Donatelli
21,CA-2015-143336,27/08/2015,1/9/2015,ZD-21925,Zuschuss Donatelli
22,CA-2017-137330,9/12/2017,13/12/2017,KB-16585,Ken Black
23,CA-2017-137330,9/12/2017,13/12/2017,KB-16585,Ken Black
24,US-2018-156909,16/07/2018,18/07/2018,SF-20065,Sandra Flanagan
25,CA-2016-106320,25/09/2016,30/09/2016,EB-13870,Emily Burns
26,CA-2017-121755,16/01/2017,20/01/2017,EH-13945,Eric Hoffmann
27,CA-2017-121755,16/01/2017,20/01/2017,EH-13945,Eric Hoffmann
28,US-2016-150630,17/09/2016,21/09/2016,TB-21520,Tracy Blumstein
29,US-2016-150630,17/09/2016,21/09/2016,TB-21520,Tracy Blumstein
30,US-2016-150630,17/09/2016,21/09/2016,TB-21520,Tracy Blumstein
31,US-2016-150630,17/09/2016,21/09/2016,TB-21520,Tracy Blumstein
32,US-2016-150630,17/09/2016,21/09/2016,TB-21520,Tracy Blumstein
33,US-2016-150630,17/09/2016,21/09/2016,TB-21520,Tracy Blumstein
34,US-2016-150630,17/09/2016,21/09/2016,TB-21520,Tracy Blumstein
35,CA-2018-107727,19/10/2018,23/10/2018,MA-17560,Matt Abelman
36,CA-2017-117590,8/12/2017,10/12/2017,GH-14485,Gene Hale
37,CA-2017-117590,8/12/2017,10/12/2017,GH-14485,Gene Hale
38,CA-2016-117415,27/12/2016,31/12/2016,SN-20710,Steve Nguyen
39,CA-2016-117415,27/12/2016,31/12/2016,SN-20710,Steve Nguyen
40,CA-2016-117415,27/12/2016,31/12/2016,SN-20710,Steve Nguyen
41,CA-2016-117415,27/12/2016,31/12/2016,SN-20710,Steve Nguyen
42,CA-2018-120999,10/9/2018,15/09/2018,LC-16930,Linda Cazamias
43,CA-2017-101343,17/07/2017,22/07/2017,RA-19885,Ruben Ausman
44,CA-2018-139619,19/09/2018,23/09/2018,ES-14080,Erin Smith
45,CA-2017-118255,11/3/2017,13/03/2017,ON-18715,Odella Nelson
46,CA-2017-118255,11/3/2017,13/03/2017,ON-18715,Odella Nelson
47,CA-2015-146703,20/10/2015,25/10/2015,PO-18865,Patrick O'Donnell
48,CA-2017-169194,20/06/2017,25/06/2017,LH-16900,Lena Hernandez
49,CA-2017-169194,20/06/2017,25/06/2017,LH-16900,Lena Hernandez
50,CA-2016-115742,18/04/2016,22/04/2016,DP-13000,Darren Powers
51,CA-2016-115742,18/04/2016,22/04/2016,DP-13000,Darren Powers
52,CA-2016-115742,18/04/2016,22/04/2016,DP-13000,Darren Powers
53,CA-2016-115742,18/04/2016,22/04/2016,DP-13000,Darren Powers
54,CA-2017-105816,11/12/2017,17/12/2017,JM-15265,Janet Molinari
55,CA-2017-105816,11/12/2017,17/12/2017,JM-15265,Janet Molinari
56,CA-2017-111682,17/06/2017,18/06/2017,TB-21055,Ted Butterfield
57,CA-2017-111682,17/06/2017,18/06/2017,TB-21055,Ted Butterfield
58,CA-2017-111682,17/06/2017,18/06/2017,TB-21055,Ted Butterfield
59,CA-2017-111682,17/06/2017,18/06/2017,TB-21055,Ted Butterfield
60,CA-2017-111682,17/06/2017,18/06/2017,TB-21055,Ted Butterfield
61,CA-2017-111682,17/06/2017,18/06/2017,TB-21055,Ted Butterfield
62,CA-2017-111682,17/06/2017,18/06/2017,TB-21055,Ted Butterfield
63,CA-2016-135545,24/11/2016,30/11/2016,KM-16720,Kunst Miller
64,CA-2016-135545,24/11/2016,30/11/2016,KM-16720,Kunst Miller
65,CA-2016-135545,24/11/2016,30/11/2016,KM-16720,Kunst Miller
66,CA-2016-135545,24/11/2016,30/11/2016,KM-16720,Kunst Miller
67,US-2016-164175,30/04/2016,5/5/2016,PS-18970,Paul Stevenson
68,CA-2015-106376,5/12/2015,10/12/2015,BS-11590,Brendan Sweed
69,CA-2015-106376,5/12/2015,10/12/2015,BS-11590,Brendan Sweed
70,CA-2017-119823,4/6/2017,6/6/2017,KD-16270,Karen Daniels
71,CA-2017-106075,18/09/2017,23/09/2017,HM-14980,Henry MacAllister
72,CA-2018-114440,14/09/2018,17/09/2018,TB-21520,Tracy Blumstein
73,US-2016-134026,26/04/2016,2/5/2016,JE-15745,Joel Eaton
74,US-2016-134026,26/04/2016,2/5/2016,JE-15745,Joel Eaton
75,US-2016-134026,26/04/2016,2/5/2016,JE-15745,Joel Eaton
76,US-2018-118038,9/12/2018,11/12/2018,KB-16600,Ken Brennan
77,US-2018-118038,9/12/2018,11/12/2018,KB-16600,Ken Brennan
78,US-2018-118038,9/12/2018,11/12/2018,KB-16600,Ken Brennan
79,US-2015-147606,26/11/2015,1/12/2015,JE-15745,Joel Eaton
80,CA-2017-127208,12/6/2017,15/06/2017,SC-20770,Stewart Carmichael
81,CA-2017-127208,12/6/2017,15/06/2017,SC-20770,Stewart Carmichael
82,CA-2015-139451,12/10/2015,16/10/2015,DN-13690,Duane Noonan
83,CA-2015-139451,12/10/2015,16/10/2015,DN-13690,Duane Noonan
84,CA-2016-149734,3/9/2016,8/9/2016,JC-16105,Julie Creighton
85,US-2018-119662,13/11/2018,16/11/2018,CS-12400,Christopher Schild
86,CA-2018-140088,28/05/2018,30/05/2018,PO-18865,Patrick O'Donnell
87,CA-2018-155558,26/10/2018,2/11/2018,PG-18895,Paul Gonzalez
88,CA-2018-155558,26/10/2018,2/11/2018,PG-18895,Paul Gonzalez
89,CA-2017-159695,5/4/2017,10/4/2017,GM-14455,Gary Mitchum
90,CA-2017-109806,17/09/2017,22/09/2017,JS-15685,Jim Sink
91,CA-2017-109806,17/09/2017,22/09/2017,JS-15685,Jim Sink
92,CA-2017-109806,17/09/2017,22/09/2017,JS-15685,Jim Sink
93,CA-2016-149587,31/01/2016,5/2/2016,KB-16315,Karl Braun
94,CA-2016-149587,31/01/2016,5/2/2016,KB-16315,Karl Braun
95,CA-2016-149587,31/01/2016,5/2/2016,KB-16315,Karl Braun
96,US-2018-109484,6/11/2018,12/11/2018,RB-19705,Roger Barcio
97,CA-2018-161018,9/11/2018,11/11/2018,PN-18775,Parhena Norris
98,CA-2018-157833,17/06/2018,20/06/2018,KD-16345,Katherine Ducich
99,CA-2017-149223,6/9/2017,11/9/2017,ER-13855,Elpida Rittenbach
100,CA-2017-158568,29/08/2017,2/9/2017,RB-19465,Rick Bensley
101,CA-2017-158568,29/08/2017,2/9/2017,RB-19465,Rick Bensley
102,CA-2017-158568,29/08/2017,2/9/2017,RB-19465,Rick Bensley
103,CA-2017-129903,1/12/2017,4/12/2017,GZ-14470,Gary Zandusky
104,US-2016-156867,13/11/2016,17/11/2016,LC-16870,Lena Cacioppo
105,US-2016-156867,13/11/2016,17/11/2016,LC-16870,Lena Cacioppo
106,US-2016-156867,13/11/2016,17/11/2016,LC-16870,Lena Cacioppo
107,CA-2018-119004,23/11/2018,28/11/2018,JM-15250,Janet Martin
108,CA-2018-119004,23/11/2018,28/11/2018,JM-15250,Janet Martin
109,CA-2018-119004,23/11/2018,28/11/2018,JM-15250,Janet Martin
110,CA-2016-129476,15/10/2016,20/10/2016,PA-19060,Pete Armstrong
111,CA-2018-146780,25/12/2018,30/12/2018,CV-12805,Cynthia Voltz
112,CA-2017-128867,3/11/2017,10/11/2017,CL-12565,Clay Ludtke
113,CA-2017-128867,3/11/2017,10/11/2017,CL-12565,Clay Ludtke
114,CA-2015-115259,25/08/2015,27/08/2015,RC-19960,Ryan Crowe
115,CA-2015-115259,25/08/2015,27/08/2015,RC-19960,Ryan Crowe
116,CA-2015-115259,25/08/2015,27/08/2015,RC-19960,Ryan Crowe
117,CA-2015-115259,25/08/2015,27/08/2015,RC-19960,Ryan Crowe
118,CA-2016-110457,2/3/2016,6/3/2016,DK-13090,Dave Kipp
119,US-2016-136476,5/4/2016,10/4/2016,GG-14650,Greg Guthrie
120,CA-2017-103730,12/6/2017,15/06/2017,SC-20725,Steven Cartwright
121,CA-2017-103730,12/6/2017,15/06/2017,SC-20725,Steven Cartwright
122,CA-2017-103730,12/6/2017,15/06/2017,SC-20725,Steven Cartwright
123,CA-2017-103730,12/6/2017,15/06/2017,SC-20725,Steven Cartwright
124,CA-2017-103730,12/6/2017,15/06/2017,SC-20725,Steven Cartwright
125,US-2015-152030,26/12/2015,28/12/2015,AD-10180,Alan Dominguez
126,US-2015-134614,20/09/2015,25/09/2015,PF-19165,Philip Fox
127,US-2018-107272,5/11/2018,12/11/2018,TS-21610,Troy Staebel
128,US-2018-107272,5/11/2018,12/11/2018,TS-21610,Troy Staebel
129,US-2017-125969,6/11/2017,10/11/2017,LS-16975,Lindsay Shagiari
130,US-2017-125969,6/11/2017,10/11/2017,LS-16975,Lindsay Shagiari
131,US-2018-164147,2/2/2018,5/2/2018,DW-13585,Dorothy Wardle
132,US-2018-164147,2/2/2018,5/2/2018,DW-13585,Dorothy Wardle
133,US-2018-164147,2/2/2018,5/2/2018,DW-13585,Dorothy Wardle
134,CA-2017-145583,13/10/2017,19/10/2017,LC-16885,Lena Creighton
135,CA-2017-145583,13/10/2017,19/10/2017,LC-16885,Lena Creighton
136,CA-2017-145583,13/10/2017,19/10/2017,LC-16885,Lena Creighton
137,CA-2017-145583,13/10/2017,19/10/2017,LC-16885,Lena Creighton
138,CA-2017-145583,13/10/2017,19/10/2017,LC-16885,Lena Creighton
139,CA-2017-145583,13/10/2017,19/10/2017,LC-16885,Lena Creighton
140,CA-2017-145583,13/10/2017,19/10/2017,LC-16885,Lena Creighton
141,CA-2017-110366,5/9/2017,7/9/2017,JD-15895,Jonathan Doherty
142,CA-2018-106180,18/09/2018,23/09/2018,SH-19975,Sally Hughsby
143,CA-2018-106180,18/09/2018,23/09/2018,SH-19975,Sally Hughsby
144,CA-2018-106180,18/09/2018,23/09/2018,SH-19975,Sally Hughsby
145,CA-2018-155376,22/12/2018,27/12/2018,SG-20080,Sandra Glassco
146,CA-2016-110744,7/9/2016,12/9/2016,HA-14920,Helen Andreada
147,CA-2015-110072,22/10/2015,28/10/2015,MG-17680,Maureen Gastineau
148,CA-2017-114489,5/12/2017,9/12/2017,JE-16165,Justin Ellison
149,CA-2017-114489,5/12/2017,9/12/2017,JE-16165,Justin Ellison
150,CA-2017-114489,5/12/2017,9/12/2017,JE-16165,Justin Ellison
151,CA-2017-114489,5/12/2017,9/12/2017,JE-16165,Justin Ellison
152,CA-2017-158834,13/03/2017,16/03/2017,TW-21025,Tamara Willingham
153,CA-2017-158834,13/03/2017,16/03/2017,TW-21025,Tamara Willingham
154,CA-2016-124919,31/05/2016,2/6/2016,SP-20650,Stephanie Phelps
155,CA-2016-124919,31/05/2016,2/6/2016,SP-20650,Stephanie Phelps
156,CA-2016-124919,31/05/2016,2/6/2016,SP-20650,Stephanie Phelps
157,CA-2016-118948,28/05/2016,3/6/2016,NK-18490,Neil Knudson
158,CA-2015-104269,1/3/2015,6/3/2015,DB-13060,Dave Brooks
159,CA-2017-114104,20/11/2017,24/11/2017,NP-18670,Nora Paige
160,CA-2017-114104,20/11/2017,24/11/2017,NP-18670,Nora Paige
161,CA-2017-162733,11/5/2017,12/5/2017,TT-21070,Ted Trevino
162,CA-2016-119697,28/12/2016,31/12/2016,EM-13960,Eric Murdock
163,CA-2017-154508,16/11/2017,20/11/2017,RD-19900,Ruben Dartt
164,CA-2017-113817,7/11/2017,11/11/2017,MJ-17740,Max Jones
165,CA-2015-139892,8/9/2015,12/9/2015,BM-11140,Becky Martin
166,CA-2015-139892,8/9/2015,12/9/2015,BM-11140,Becky Martin
167,CA-2015-139892,8/9/2015,12/9/2015,BM-11140,Becky Martin
168,CA-2015-139892,8/9/2015,12/9/2015,BM-11140,Becky Martin
169,CA-2015-139892,8/9/2015,12/9/2015,BM-11140,Becky Martin
170,CA-2015-139892,8/9/2015,12/9/2015,BM-11140,Becky Martin
171,CA-2015-139892,8/9/2015,12/9/2015,BM-11140,Becky Martin
172,CA-2015-118962,5/8/2015,9/8/2015,CS-12130,Chad Sievert
173,CA-2015-118962,5/8/2015,9/8/2015,CS-12130,Chad Sievert
174,CA-2015-118962,5/8/2015,9/8/2015,CS-12130,Chad Sievert
175,US-2015-100853,14/09/2015,19/09/2015,JB-15400,Jennifer Braxton
176,US-2015-100853,14/09/2015,19/09/2015,JB-15400,Jennifer Braxton
177,US-2018-152366,21/04/2018,25/04/2018,SJ-20500,Shirley Jackson
178,US-2016-101511,21/11/2016,23/11/2016,JE-15745,Joel Eaton
179,US-2016-101511,21/11/2016,23/11/2016,JE-15745,Joel Eaton
180,CA-2016-137225,15/12/2016,19/12/2016,JK-15640,Jim Kriz
181,CA-2015-166191,5/12/2015,9/12/2015,DK-13150,David Kendrick
182,CA-2015-166191,5/12/2015,9/12/2015,DK-13150,David Kendrick
183,CA-2015-158274,19/11/2015,24/11/2015,RM-19675,Robert Marley
184,CA-2015-158274,19/11/2015,24/11/2015,RM-19675,Robert Marley
185,CA-2015-158274,19/11/2015,24/11/2015,RM-19675,Robert Marley
186,CA-2017-105018,28/11/2017,2/12/2017,SK-19990,Sally Knutson
187,CA-2015-123260,26/08/2015,30/08/2015,FM-14290,Frank Merwin
188,CA-2017-157000,16/07/2017,22/07/2017,AM-10360,Alice McCarthy
189,CA-2017-157000,16/07/2017,22/07/2017,AM-10360,Alice McCarthy
190,CA-2016-102281,12/10/2016,14/10/2016,MP-17470,Mark Packer
191,CA-2016-102281,12/10/2016,14/10/2016,MP-17470,Mark Packer
192,CA-2016-102281,12/10/2016,14/10/2016,MP-17470,Mark Packer
193,CA-2016-102281,12/10/2016,14/10/2016,MP-17470,Mark Packer
194,CA-2016-102281,12/10/2016,14/10/2016,MP-17470,Mark Packer
195,CA-2016-131457,31/10/2016,6/11/2016,MZ-17515,Mary Zewe
196,CA-2015-140004,21/03/2015,25/03/2015,CB-12025,Cassandra Brandow
197,CA-2015-140004,21/03/2015,25/03/2015,CB-12025,Cassandra Brandow
198,CA-2018-107720,6/11/2018,13/11/2018,VM-21685,Valerie Mitchum
199,US-2018-124303,6/7/2018,13/07/2018,FH-14365,Fred Hopkins
200,US-2018-124303,6/7/2018,13/07/2018,FH-14365,Fred Hopkins
201,CA-2018-105074,24/06/2018,29/06/2018,MB-17305,Maria Bertelson
202,CA-2015-133690,3/8/2015,5/8/2015,BS-11755,Bruce Stewart
203,CA-2015-133690,3/8/2015,5/8/2015,BS-11755,Bruce Stewart
204,US-2018-116701,17/12/2018,21/12/2018,LC-17140,Logan Currie
205,CA-2018-126382,3/6/2018,7/6/2018,HK-14890,Heather Kirkland
206,CA-2018-108329,9/12/2018,14/12/2018,LE-16810,Laurel Elliston
207,CA-2018-135860,1/12/2018,7/12/2018,JH-15985,Joseph Holt
208,CA-2018-135860,1/12/2018,7/12/2018,JH-15985,Joseph Holt
209,CA-2018-135860,1/12/2018,7/12/2018,JH-15985,Joseph Holt
210,CA-2018-135860,1/12/2018,7/12/2018,JH-15985,Joseph Holt
211,CA-2018-135860,1/12/2018,7/12/2018,JH-15985,Joseph Holt
212,CA-2016-101007,9/2/2016,13/02/2016,MS-17980,Michael Stewart
213,CA-2016-146262,2/1/2016,9/1/2016,VW-21775,Victoria Wilson
214,CA-2016-146262,2/1/2016,9/1/2016,VW-21775,Victoria Wilson
215,CA-2016-146262,2/1/2016,9/1/2016,VW-21775,Victoria Wilson
216,CA-2016-146262,2/1/2016,9/1/2016,VW-21775,Victoria Wilson
217,CA-2016-146262,2/1/2016,9/1/2016,VW-21775,Victoria Wilson
218,CA-2017-130162,28/10/2017,1/11/2017,JH-15910,Jonathan Howell
219,CA-2017-130162,28/10/2017,1/11/2017,JH-15910,Jonathan Howell
220,CA-2016-169397,24/12/2016,27/12/2016,JB-15925,Joni Blumstein
221,CA-2016-169397,24/12/2016,27/12/2016,JB-15925,Joni Blumstein
222,CA-2016-169397,24/12/2016,27/12/2016,JB-15925,Joni Blumstein
223,CA-2016-169397,24/12/2016,27/12/2016,JB-15925,Joni Blumstein
224,CA-2016-169397,24/12/2016,27/12/2016,JB-15925,Joni Blumstein
225,CA-2016-169397,24/12/2016,27/12/2016,JB-15925,Joni Blumstein
226,CA-2016-163055,9/8/2016,16/08/2016,DS-13180,David Smith
227,CA-2016-163055,9/8/2016,16/08/2016,DS-13180,David Smith
228,CA-2016-163055,9/8/2016,16/08/2016,DS-13180,David Smith
229,US-2016-145436,28/02/2016,4/3/2016,VD-21670,Valerie Dominguez
230,US-2016-145436,28/02/2016,4/3/2016,VD-21670,Valerie Dominguez
231,US-2015-156216,13/09/2015,17/09/2015,EA-14035,Erin Ashbrook
232,US-2018-100930,7/4/2018,12/4/2018,CS-12400,Christopher Schild
233,US-2018-100930,7/4/2018,12/4/2018,CS-12400,Christopher Schild
234,US-2018-100930,7/4/2018,12/4/2018,CS-12400,Christopher Schild
235,US-2018-100930,7/4/2018,12/4/2018,CS-12400,Christopher Schild
236,US-2018-100930,7/4/2018,12/4/2018,CS-12400,Christopher Schild
237,CA-2018-160514,12/11/2018,16/11/2018,DB-13120,David Bremer
238,CA-2017-157749,4/6/2017,9/6/2017,KL-16645,Ken Lonsdale
239,CA-2017-157749,4/6/2017,9/6/2017,KL-16645,Ken Lonsdale
240,CA-2017-157749,4/6/2017,9/6/2017,KL-16645,Ken Lonsdale
241,CA-2017-157749,4/6/2017,9/6/2017,KL-16645,Ken Lonsdale
242,CA-2017-157749,4/6/2017,9/6/2017,KL-16645,Ken Lonsdale
243,CA-2017-157749,4/6/2017,9/6/2017,KL-16645,Ken Lonsdale
244,CA-2017-157749,4/6/2017,9/6/2017,KL-16645,Ken Lonsdale
245,CA-2015-131926,1/6/2015,6/6/2015,DW-13480,Dianna Wilson
246,CA-2015-131926,1/6/2015,6/6/2015,DW-13480,Dianna Wilson
247,CA-2015-131926,1/6/2015,6/6/2015,DW-13480,Dianna Wilson
248,CA-2015-131926,1/6/2015,6/6/2015,DW-13480,Dianna Wilson
249,CA-2015-131926,1/6/2015,6/6/2015,DW-13480,Dianna Wilson
